Parent1,Parent2,Replication,Trait
2,1,1,21.67963437
3,1,1,20.00085746
4,1,1,24.25533658
5,1,1,22.63178145
6,1,1,21.1791614
7,1,1,20.18867598
8,1,1,21.7846624
9,1,1,19.52943943
10,1,1,25.59495454
11,1,1,20.9065569
12,1,1,18.08614687
13,1,1,22.24591754
14,1,1,19.1019002
15,1,1,25.4924691
16,1,1,22.90777852
17,1,1,24.9244284
18,1,1,22.52079063
19,1,1,14.26253903
20,1,1,25.00883721
21,1,1,18.90594074
22,1,1,22.24227852
23,1,1,26.88517274
24,1,1,23.52256892
25,1,1,24.2846554
1,2,1,17.69006269
3,2,1,21.48669033
4,2,1,20.791767
5,2,1,15.07825478
6,2,1,22.14537512
7,2,1,19.62739881
8,2,1,22.8321166
9,2,1,19.51351914
10,2,1,21.08272192
11,2,1,16.83679226
12,2,1,18.9348328
13,2,1,20.49790695
14,2,1,22.76365564
15,2,1,18.22269279
16,2,1,22.57382511
17,2,1,15.33380438
18,2,1,17.62399397
19,2,1,20.55210485
20,2,1,23.98631407
21,2,1,23.19709119
22,2,1,22.67556571
23,2,1,22.37350383
24,2,1,20.03950067
25,2,1,17.41148662
1,3,1,23.08170959
2,3,1,21.53583337
4,3,1,29.41134608
5,3,1,22.75352346
6,3,1,22.7522688
7,3,1,20.56303953
8,3,1,18.86190899
9,3,1,15.83210844
10,3,1,22.53670529
11,3,1,21.33559526
12,3,1,18.58062873
13,3,1,21.75449507
14,3,1,22.6122388
15,3,1,27.68176808
16,3,1,15.65632826
17,3,1,17.02088961
18,3,1,23.80502544
19,3,1,21.46880523
20,3,1,26.09151354
21,3,1,20.3297356
22,3,1,24.20783904
23,3,1,25.51022906
24,3,1,21.65164911
25,3,1,14.22246289
1,4,1,23.55475211
2,4,1,20.37234051
3,4,1,25.03576812
5,4,1,23.38618307
6,4,1,20.30368636
7,4,1,26.96813062
8,4,1,24.00196819
9,4,1,20.7858132
10,4,1,20.05211931
11,4,1,18.60735785
12,4,1,20.91812676
13,4,1,24.10176245
14,4,1,27.95676362
15,4,1,21.80442223
16,4,1,20.05235141
17,4,1,24.40498812
18,4,1,15.26177557
19,4,1,22.32453792
20,4,1,26.88705966
21,4,1,15.63510662
22,4,1,21.3155215
23,4,1,29.21421316
24,4,1,23.7649062
25,4,1,20.50158207
1,5,1,21.87590516
2,5,1,19.15189252
3,5,1,20.96180434
4,5,1,23.75142997
6,5,1,19.73119207
7,5,1,23.97638986
8,5,1,22.65387875
9,5,1,18.62289187
10,5,1,23.29369196
11,5,1,20.15606447
12,5,1,17.17475528
13,5,1,19.1075439
14,5,1,19.55145399
15,5,1,21.25273461
16,5,1,23.37354803
17,5,1,20.12164241
18,5,1,18.76742687
19,5,1,19.55584369
20,5,1,25.75060541
21,5,1,19.78121563
22,5,1,21.95125631
23,5,1,28.7653969
24,5,1,21.14674509
25,5,1,18.11036551
1,6,1,22.4353676
2,6,1,20.2470955
3,6,1,25.17097449
4,6,1,25.72134743
5,6,1,19.33683452
7,6,1,19.89982552
8,6,1,20.22478021
9,6,1,17.66638386
10,6,1,22.0258419
11,6,1,18.44061822
12,6,1,22.2270385
13,6,1,18.43934972
14,6,1,20.61386317
15,6,1,23.24755216
16,6,1,22.15899601
17,6,1,19.88712318
18,6,1,22.81297232
19,6,1,14.71911216
20,6,1,18.53525199
21,6,1,18.01760659
22,6,1,16.93694484
23,6,1,25.12598126
24,6,1,24.66728644
25,6,1,17.43050179
1,7,1,20.53283617
2,7,1,21.9834544
3,7,1,20.31665705
4,7,1,23.71513682
5,7,1,23.71490506
6,7,1,18.15340311
8,7,1,22.17945721
9,7,1,19.26153962
10,7,1,24.95880037
11,7,1,22.18724866
12,7,1,14.83533417
13,7,1,19.88571049
14,7,1,20.25211345
15,7,1,24.53120811
16,7,1,19.70539927
17,7,1,17.62778684
18,7,1,19.09725067
19,7,1,19.53722879
20,7,1,25.20857114
21,7,1,20.66987598
22,7,1,19.01336457
23,7,1,23.61225922
24,7,1,22.03731119
25,7,1,20.06536831
1,8,1,23.89380517
2,8,1,19.64821829
3,8,1,22.35706014
4,8,1,21.30144336
5,8,1,22.6690006
6,8,1,16.61651093
7,8,1,25.03724376
9,8,1,18.64302972
10,8,1,17.3009389
11,8,1,20.61540756
12,8,1,16.35960335
13,8,1,19.67639821
14,8,1,20.77301989
15,8,1,20.3050532
16,8,1,22.3880146
17,8,1,19.71373528
18,8,1,19.61673423
19,8,1,17.99684071
20,8,1,25.20250932
21,8,1,18.04680552
22,8,1,19.27904657
23,8,1,28.95298355
24,8,1,24.04830353
25,8,1,20.87980216
1,9,1,19.37317484
2,9,1,21.54514965
3,9,1,20.7577617
4,9,1,20.00420049
5,9,1,18.15512164
6,9,1,20.2421779
7,9,1,17.59175641
8,9,1,20.45257033
10,9,1,18.40455163
11,9,1,15.91645872
12,9,1,16.84010682
13,9,1,20.79421827
14,9,1,20.02768353
15,9,1,21.72742812
16,9,1,17.52209026
17,9,1,21.79434361
18,9,1,17.6583946
19,9,1,14.57086704
20,9,1,20.56771259
21,9,1,16.57922358
22,9,1,23.83648144
23,9,1,25.23930751
24,9,1,19.79978539
25,9,1,20.62475089
1,10,1,23.46267465
2,10,1,21.4193562
3,10,1,25.21491603
4,10,1,25.00406641
5,10,1,21.91671637
6,10,1,19.47296147
7,10,1,22.32165916
8,10,1,19.69564492
9,10,1,21.40588466
11,10,1,22.36061624
12,10,1,16.26040927
13,10,1,20.77916312
14,10,1,24.6490583
15,10,1,24.97701816
16,10,1,21.94128749
17,10,1,16.78946629
18,10,1,21.91796644
19,10,1,20.25943177
20,10,1,27.63341671
21,10,1,18.28594682
